Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Vojnik,2018,11,Celjska
Samooskrba,Celje,2018,11,Celjska
Samooskrba,Celje,2018,11,Celjska
Samooskrba,Šmartno v Rožni dolini,2018,6.84,Celjska
Samooskrba,Škofja vas,2018,11,Celjska
Samooskrba,Ljubečna,2018,10.915,Celjska
Samooskrba,Laško,2018,6.2,Celjska
Samooskrba,Celje,2018,1.5,Celjska
Samooskrba,Lesično,2018,11,Celjska
Samooskrba,Vojnik,2018,10.8,Celjska
Samooskrba,Celje,2018,10.8,Celjska
Samooskrba,Lesično,2018,11,Celjska
Samooskrba,Šmartno v Rožni dolini,2018,11,Celjska
Samooskrba,Kalobje,2018,11,Celjska
Samooskrba,Velenje,2018,10.8,Celjska
Samooskrba,Mozirje,2018,11,Celjska
Samooskrba,Luče,2018,10,Celjska
Samooskrba,Frankolovo,2018,6,Celjska
Samooskrba,Rečica ob Savinji,2018,11,Celjska
Samooskrba,Braslovče,2018,10.8,Celjska
Samooskrba,Laško,2018,11,Celjska
Samooskrba,Planina pri Sevnici,2018,10.8,Celjska
Samooskrba,Mozirje,2018,10.8,Celjska
Samooskrba,Grobelno,2018,7.41,Celjska
Samooskrba,Šmartno ob Paki,2018,11,Celjska
Samooskrba,Topolšica,2018,7,Celjska
Samooskrba,Podčetrtek,2018,11,Celjska
Samooskrba,Žalec,2018,8.1,Celjska
Samooskrba,Žalec,2018,10.83,Celjska
Samooskrba,Dramlje,2018,7,Celjska
Samooskrba,Rogaška Slatina,2018,11,Celjska
Samooskrba,Žalec,2018,11,Celjska
Samooskrba,Kalobje,2018,11,Celjska
Samooskrba,Celje,2018,13.2,Celjska
Samooskrba,Ponikva,2018,10.98,Celjska
Samooskrba,Velenje,2018,10.8,Celjska
Samooskrba,Ljubno ob Savinji,2018,10.8,Celjska
Samooskrba,Polzela,2018,13.75,Celjska
Samooskrba,Dobje pri Planini,2018,11,Celjska
Samooskrba,Šmartno ob Paki,2018,6.9,Celjska
Samooskrba,Šmartno ob Paki,2018,10.8,Celjska
Samooskrba,Grobelno,2018,10.83,Celjska
Samooskrba,Buče,2018,9,Celjska
Samooskrba,Rečica ob Savinji,2018,11,Celjska
Samooskrba,Velenje,2018,11,Celjska
Samooskrba,Celje,2018,10.8,Celjska
Samooskrba,Šmartno ob Paki,2018,11,Celjska
Samooskrba,Podčetrtek,2018,11,Celjska
Samooskrba,Loče,2018,8,Celjska
Samooskrba,Škofja vas,2018,10.91,Celjska
Samooskrba,Slovenske Konjice,2018,15,Celjska
Samooskrba,Slovenske Konjice,2018,15,Celjska
Samooskrba,Slovenske Konjice,2018,10,Celjska
Samooskrba,Slovenske Konjice,2018,10,Celjska
Samooskrba,Slovenske Konjice,2018,10,Celjska
Samooskrba,Zreče,2018,7,Celjska
Samooskrba,Stranje,2018,10,Celjska
Samooskrba,Zreče,2018,10,Celjska
Samooskrba,Zreče,2018,15,Celjska
Samooskrba,Zreče,2018,10.8,Celjska
Samooskrba,Slovenske Konjice,2018,10.8,Celjska
Samooskrba,Loče,2018,15,Celjska
Samooskrba,Slovenske Konjice,2018,10,Celjska
Samooskrba,Loče,2018,11,Celjska
Samooskrba,Slovenske Konjice,2018,14.85,Celjska
Samooskrba,Prebold,2018,11,Celjska
Samooskrba,Šentjur,2018,11,Celjska
Samooskrba,Pristava pri Mestinju,2018,11,Celjska
Samooskrba,Žalec,2018,11,Celjska
Samooskrba,Šentjur,2018,7.8,Celjska
Samooskrba,Šentjur,2018,10.8,Celjska
Samooskrba,Celje,2018,11.4,Celjska
Samooskrba,Loče,2018,10,Celjska
Samooskrba,Polzela,2018,7.15,Celjska
Samooskrba,Šentjur,2018,10.98,Celjska
Samooskrba,Rogaška Slatina,2018,10.8,Celjska
Samooskrba,Planina pri Sevnici,2018,11,Celjska
Samooskrba,Šentjur,2018,10.8,Celjska
Samooskrba,Laško,2018,10,Celjska
Samooskrba,Laško,2018,8,Celjska
Samooskrba,Vitanje,2018,8,Celjska
Samooskrba,Velenje,2018,8.1,Celjska
